Country,Score,Life Expectancy,GDP Per Capita,Crime Index,Death Rate,Birth rate,Marriage rate,Divorce rate,Literacy rate,Electricity access,Unemployment rate,Fossil fuels,Net migration,Diabetes Prevalance,HIV Prevalance,Rights Strength,Women in Parliament,Car Accidents,Urban Population,Average Rainfall
Afghanistan,3.203,65.98,502.1154869,76.63,6.423,32.487,,,43.01972,98.71320343,11.11800003,,-314602,9.2,27.52239027,10,27.86885246,15.1,25.754,327
Albania,4.719,78.96,5352.857411,40.3,7.898,11.78,7.8,1.9,98.14115,100,12.33100033,61.42180139,-69998,9,767.2927285,8,29.50819672,13.6,61.229,1485
Algeria,5.211,77.5,3948.343279,48.33,4.716,24.282,10.1,1.6,81.40784,100,11.70400047,99.97791672,-50002,6.7,50.03129395,2,25.75757576,,73.189,89
Argentina,6.086,77.17,10006.14897,62.55,7.609,17.021,,,99.00387,100,9.788999557,87.72240748,24000,5.9,3018.488825,2,40.15748031,14,91.991,591
Armenia,4.559,75.55,4622.733493,22,9.857,13.987,6,1,,100,16.98999977,74.56186571,-24989,6.1,478.7453626,6,23.48484848,17.1,63.219,562
Australia,7.228,83.94,54907.10191,42.76,6.3,12.6,4.6,2,,100,5.268000126,93.38683566,791229,5.6,36720.85344,11,30.46357616,5.6,86.124,534
Austria,7.246,82.05,50277.27509,21.37,9.5,9.7,5.1,1.8,,100,4.673999786,64.81315647,324998,6.6,26306.77452,4,39.3442623,5.2,58.515,1110
Azerbaijan,5.208,73.33,4793.58702,31.67,5.8,14,9.7,1.5,,100,5.508999825,98.36599003,6002,6.1,368.839939,12,16.80672269,8.7,56.031,447
Bahrain,6.199,77.73,23503.97713,32.87,2.385,13.99,,,97.46419,100,0.713999987,99.36584717,239000,15.6,388.7465787,3,15,,89.394,83
Bangladesh,4.456,73.57,1855.739824,65.82,5.529,18.184,,,73.9122,85.16042328,4.190000057,73.76893795,-1847503,9.2,100.1802183,5,20.63037249,15.3,37.405,2666
Belarus,5.323,75.2,6663.295293,23.53,12.7,9.9,9.2,4.1,99.75656,100,4.59499979,92.44037502,43648,5,5722.068657,3,40,8.9,79.044,618
Belgium,6.923,82.17,46116.69923,42.46,10.7,10.3,3.9,2.1,,100,5.589000225,72.65250484,240000,4.6,19663.96016,8,42,5.8,98.041,847
Benin,4.883,62.84,1219.432672,,8.871,36.221,,,42.3624,41.52923965,2.232000113,36.72458133,-10000,1,9.914287174,6,7.228915663,27.5,47.861,1039
Bhutan,5.082,72.77,,,6.245,17.259,,,,100,2.342000008,,1600,10.3,478.3171623,4,14.89361702,17.4,41.612,2200
Bolivia,5.779,72.35,3552.068762,53.29,6.772,21.75,,,,95.5853653,3.497999907,84.15328999,-47520,6.8,172.5860107,,53.07692308,15.5,69.773,1146
Bosnia and Herzegovina,5.386,77.93,6073.265203,43.79,10.712,8.111,4.8,0.6,,100,18.42499924,77.52204497,-107926,9,2656.164799,7,21.42857143,15.7,48.626,1028
Botswana,3.488,69.86,7961.33814,,5.742,24.821,,,,64.85172272,18.19300079,74.68798407,14999,5.8,210.9652441,5,10.76923077,23.8,70.172,416
Brazil,6.3,76.57,8717.186278,70.24,6.452,13.924,6.6,1.4,93.2275,100,12.08300018,59.10753264,106000,10.4,2740.911142,2,15.00974659,19.7,86.824,1761
Bulgaria,5.011,75.49,9737.601351,40,15.4,8.9,3.8,1.5,,100,4.340000153,71.04592252,-24001,6,40238.04715,8,25.83333333,10.2,75.347,608
Burkina Faso,4.587,62.98,774.8396902,,8.124,37.93,,,41.22445,14.4,6.263999939,,-125000,7.3,3.39543903,6,13.38582677,30.5,29.98,748
Burundi,3.775,62.71,261.2474725,,7.929,39.008,,,,11.02425194,1.427000046,,10003,5.1,9.192946062,2,36.36363636,34.7,13.366,1274
Cambodia,4.7,70.54,1643.121389,51.28,5.997,22.464,,,,91.55067444,0.676999986,30.6290814,-149999,6.4,159.2814309,10,20,17.8,23.805,1904
Cameroon,5.044,60.32,1497.909176,,9.266,35.386,,,77.07104,62.66007233,3.380000114,38.31785719,-24000,6,15.14895051,6,31.11111111,30.1,56.968,1604
Canada,7.278,82.96,46194.72523,39.51,7.7,10.1,4.4,2.1,,100,5.56400013,73.19287432,1210159,7.6,35900.83785,9,28.99408284,5.8,81.482,537
Central African Republic,3.083,54.36,467.9074406,,12.289,35.348,,,37.39582,32.42039871,3.680000067,,-200000,6,1.053699698,6,8.571428571,33.6,41.77,1343
Chad,4.35,55.17,709.5403101,,12.104,42.172,,,,11.75935555,1.891000032,,10000,6,0.689790276,6,14.88095238,27.6,23.279,322
Chile,6.444,80.74,14896.45387,46.81,6.163,12.428,3.3,0.7,,100,7.090000153,73.25054383,558539,8.6,11013.69679,4,22.58064516,12.5,87.643,1522
China,5.191,77.47,10261.67913,45.46,7.1,10.9,7.2,3.2,96.84089,100,4.320000172,87.67043077,-1741996,9.2,734.975299,4,24.94117647,18.2,60.308,645
Colombia,6.125,77.87,6432.387583,51.26,5.562,14.882,2.3,0.7,95.09251,99.93644714,9.706999779,76.68569263,1023981,7.4,780.6602071,11,18.71345029,18.5,81.104,3240
Comoros,3.973,65.03,1393.522372,,7.214,31.881,,,58.81702,81.92275238,4.335999966,,-10000,12.3,7.051473405,6,6.060606061,26.5,29.164,900
Costa Rica,7.167,80.94,12238.37496,56.05,5.078,13.971,5.3,2.5,97.86379,100,11.85400009,49.88027273,21000,9.1,1310.335824,10,45.61403509,16.7,80.076,2926
Croatia,5.432,79.02,14853.23984,24.69,12.9,9,4.9,1.7,,100,6.934999943,70.70366234,-40004,5.4,22742.96251,5,20.52980132,8.1,57.242,1113
Cyprus,6.046,81.51,27858.371,29.31,7.022,10.462,7.5,2.3,,100,7.274000168,92.90621503,25000,9,8221.429614,7,17.85714286,5.1,66.805,498
Czech Republic,6.852,79.85,23101.7777,26.66,10.6,10.7,4.8,2.4,,100,1.932999969,75.27852225,110057,7,56198.25245,7,22.5,5.9,73.921,677
Denmark,7.6,81.4,59822.09296,24.25,9.5,10.6,5.4,3,,100,4.913000107,67.70455812,75998,8.3,277133.6791,8,39.10614525,4,87.994,703
Dominican Republic,5.425,74.65,8282.116222,61.35,6.15,19.506,4.4,1.8,,100,5.84499979,86.56359598,-150000,8.6,113.1394685,1,26.84210526,34.6,81.828,1410
Ecuador,6.028,77.71,6183.823825,48.98,5.109,19.719,5.6,1.1,,100,3.967999935,86.88466036,182000,5.5,313.5781046,1,37.95620438,21.3,63.986,2274
Egypt,4.166,72.54,3020.03135,50.71,5.817,26.379,11,1.9,,100,10.76000023,97.92892979,-190164,17.2,35.33288262,5,14.93288591,9.7,42.73,51
El Salvador,6.253,74.06,4187.250031,68.08,7.04,18.253,3.5,0.8,89.0086,100,4.110000134,48.42958734,-202694,8.8,94.21166914,9,30.95238095,22.2,72.746,1784
Estonia,5.893,79.18,23659.87229,20.8,11.9,10.9,5.2,2.6,,100,5.114999771,14.49029111,19555,4.2,83332.45389,7,29.7029703,6.1,69.051,626
Ethiopia,4.286,67.81,857.501351,47.18,6.551,32.339,,,,44.97995758,2.08100009,6.56980663,150002,4.3,1.472179422,3,38.75685558,26.7,21.225,848
Finland,7.769,82.48,48685.85399,22.8,9.9,8.6,4.5,2.5,,100,6.59499979,42.18252679,70000,5.6,57706.13773,6,47,4.7,85.446,536
France,6.592,83.13,40493.92857,46.39,9.2,11.3,3.5,1.9,,100,8.427000046,46.22592306,182636,4.8,29396.27679,4,39.68804159,5.5,80.709,867
Gabon,4.799,67.03,7667.366861,,6.833,31.611,,,84.66716,93.03568268,20.00399971,22.78651631,16301,6,25.31553513,6,17.91044776,23.2,89.741,1831
Gambia,4.516,63.26,751.2946884,,7.887,38.535,,,,60.3,9.055999756,,-15436,1.9,22.14928104,6,10.34482759,29.7,61.931,836
Georgia,4.519,74.24,4769.186543,19.86,12.849,13.472,6.9,1.3,,100,14.39799976,72.20953534,-50000,5.8,2776.327807,9,14.76510067,15.3,59.039,1026
Germany,6.985,81.88,46258.87829,34.51,11.5,9.5,5,2,,100,3.042999983,79.71052694,2719112,10.4,77932.67011,6,30.88857546,4.1,77.376,700
Ghana,4.996,64.94,2202.115567,51.95,7.309,29.407,,,79.03964,82.39457703,4.330999851,52.54306013,-50000,2.5,45.00645936,6,13.09090909,24.9,56.707,1187
Greece,5.287,82.8,19582.53601,38.57,11.2,8.1,4.6,1,97.93595,100,17.23800087,86.04931718,-80000,4.7,6650.602697,2,20.66666667,9.2,79.388,652
Guatemala,6.436,75.05,4619.987097,55.92,4.738,24.561,3.8,1.2,,94.69546509,2.459000111,37.37859696,-46073,10,93.8928908,9,19.375,16.6,51.439,1996
Guinea,4.534,62.64,1064.131237,,8.452,36.364,,,,44,4.296000004,,-20000,2.4,4.932956424,6,22.80701754,28.2,36.5,1651
Haiti,3.597,64.99,754.5879177,,8.534,24.349,,,,45.27788925,13.78100014,22.01589404,-175000,6.7,5.327141065,2,2.542372881,,56.192,1440
Honduras,5.86,75.87,2574.912191,76.84,4.437,21.599,,,87.20524,91.88720703,5.386000156,52.47931253,-34000,7.3,93.37051874,8,21.09375,16.7,57.73,1976
Hong Kong,5.43,85.29,48755.83508,19.32,6.4,7.2,,,,100,3.628999949,93.17288162,146542,4.5,60546.12782,8,,,100,
Hungary,5.758,77.31,16475.74184,35.17,13.4,9.6,5.3,2,,100,3.398999929,68.1924014,29999,6.9,26243.73986,9,12.56281407,7.8,71.644,589
Iceland,7.494,83.52,66944.82551,23.28,6.4,12,4.9,1.8,,100,2.842000008,10.92848727,1900,5.8,70758.59435,4,38.0952381,6.6,93.855,1940
India,4.015,70.42,2104.1459,42.72,7.234,17.857,,,74.37299,95.2358551,5.355000019,73.57697909,-2663434,10.4,389.1979583,9,14.39114391,22.6,34.472,1083
Indonesia,5.192,72.32,4135.569263,46.01,6.465,18.072,,,95.65856,98.51,4.686999798,66.08947546,-494777,6.3,1683.846812,6,17.39130435,12.2,55.985,2702
Iran,4.548,77.33,,49.33,4.843,18.783,11.2,1.6,,100,11.38199997,99.02258055,-274998,9.6,1035.073658,2,5.882352941,20.5,75.391,228
Iraq,4.437,71.08,5955.10901,45.56,4.776,29.075,,,,99.9,12.82199955,95.98417678,39171,8.8,12.08350603,,25.22796353,20.7,70.678,216
Ireland,7.021,82.81,78660.95646,44.52,6.4,12.5,4.7,0.7,,100,4.927999973,84.43758716,118020,3.2,95278.01995,7,22.15189873,4.1,63.405,1118
Israel,7.139,83.49,43641.39774,32.16,5,20.8,6.5,1.8,,100,3.861000061,91.74963606,50002,9.7,11115.72576,6,23.33333333,4.2,92.501,435
Italy,6.223,84.01,33189.5658,45.02,10.5,7.3,3.4,1.6,99.15576,100,9.887000084,78.58642262,744713,5,15168.84742,2,35.71428571,5.6,70.736,832
Jamaica,5.89,74.88,5582.263778,65.28,7.573,16.103,7.5,1.5,,98.93328094,8.001999855,80.97134481,-56658,11.3,144.4910743,9,17.46031746,13.6,55.985,2051
Japan,5.886,85.03,40246.88013,13.73,11,7.4,4.8,1.7,,100,2.290999889,94.4074689,357800,5.6,18701.35263,5,10.10752688,4.1,91.698,1668
Jordan,4.906,75.01,4330.329346,43.82,3.864,21.979,10.2,2.6,98.22711,99.9,14.71500015,97.60844665,51099,12.7,108.1006809,11,15.38461538,24.4,91.203,111
Kazakhstan,5.809,73.9,9731.145207,66.51,7.14,21.77,8.6,2.3,99.78163,100,4.590000153,99.17390731,-90000,6.1,2358.980508,8,27.10280374,17.6,57.54,250
Kenya,4.509,67.47,1816.546916,54.82,5.469,28.748,,,81.53497,75,2.64199996,17.37957261,-50000,3.1,248.1646194,11,21.7765043,27.8,27.507,630
Kuwait,6.021,75.85,32031.9801,33.91,2.696,13.939,5.2,2.2,96.05647,100,2.181999922,93.68988945,197600,12.2,438.3084432,1,4.615384615,17.6,100,121
Kyrgyzstan,5.261,71.95,1309.392992,,5.2,27.1,9.7,1.6,99.586,100,6.329999924,75.47621896,-20000,6.1,287.9090585,9,19.16666667,15.4,36.591,533
Laos,4.796,68.89,2534.898277,,6.434,23.549,,,,97.91982269,0.625999987,,-73518,6.4,31.24365799,6,27.51677852,16.6,35.645,1834
Latvia,5.94,75.73,17836.36489,36.77,15,10,6.6,3.1,99.88931,100,6.519999981,56.71742757,-74186,5,19868.37022,9,30,9.3,68.222,641
Lebanon,5.197,79.27,7784.316857,44.27,4.356,17.545,9.5,1.6,95.06944,100,6.229000092,97.62110111,-150060,11.2,206.3972048,2,4.6875,18.1,88.758,661
Lesotho,3.802,55.65,1157.535164,,14.246,26.808,,,,47,23.40500069,,-50234,4.5,63.0508717,5,23.33333333,28.9,28.585,788
Liberia,3.975,65,621.8929536,,7.538,33.042,,,,25.9182663,2.813999891,,-25000,2.4,4.860883538,10,12.32876712,35.9,51.615,2391
Libya,5.525,73.44,7683.750611,59.18,5.095,18.829,10.8,2.5,,67,18.56299973,99.11129636,-9997,10.2,1050.39475,,15.95744681,26.1,80.393,56
Lithuania,6.149,76.41,19455.45413,36.51,14.1,10,7.4,3.1,,100,6.352000237,67.99374947,-163902,3.8,31537.10793,6,21.27659574,8,67.855,656
Luxembourg,7.09,82.79,114704.5942,29.07,7.1,10.3,3.2,2.1,,100,5.362999916,83.33175267,48704,5,39871.2042,3,25,6.3,91.223,934
Madagascar,3.933,68.21,522.2198092,,6.055,32.657,,,74.80432,25.90781212,1.758000016,,-7500,4.5,8.416975638,2,15.89403974,28.6,37.861,1513
Malawi,3.41,65.62,411.5523404,,6.597,34.118,,,,18.02,5.652999878,,-80263,4.5,16.37254508,11,22.91666667,31,17.174,1181
Malaysia,5.339,76.65,11414.83766,60.79,5.09,16.752,,,94.85441,100,3.323999882,96.6281989,249999,16.7,6723.927995,7,14.41441441,23.6,76.607,2875
Mali,4.39,60.54,890.7372855,,9.686,41.543,,,35.47377,50.9,7.223999977,,-200000,2.4,10.32656831,6,9.523809524,23.1,43.136,282
Malta,6.726,83.06,29416.23061,33.53,7.6,9.2,6.7,0.8,94.50319,100,3.47300005,97.78846166,4501,8.3,10870.32207,2,14.92537313,6.1,94.678,560
Mauritania,4.49,65.57,1677.919253,,7.222,33.694,,,,44.52691269,9.548000336,,25002,7.1,7.291696128,2,20.26143791,24.7,54.507,92
Mauritius,5.888,75.51,11203.54058,46.81,8.5,10.2,8.2,1.4,91.32539,97.46600342,6.673999786,84.5423603,0,22,515.1254907,6,20,13.7,40.766,2041
Mexico,6.595,75.41,9863.072699,52.3,6.01,17.602,5.2,0.9,95.37991,100,3.424999952,90.27848997,-300000,13.5,271.4862346,10,48.2,13.1,80.444,758
Moldova,5.529,72.3,4498.52085,45.45,11.61,10.1,7.3,3.1,,100,5.47300005,88.68802224,-6935,5.7,4537.865781,8,25.74257426,9.7,42.726,450
Mongolia,5.285,70.53,4295.235025,59.76,6.316,24.131,3.4,1.1,98.42312,98.1,6.011000156,93.19938283,-4262,4.7,1690.455099,9,17.33333333,16.5,68.543,241
Montenegro,5.523,77.39,8832.036836,40.48,10.682,11.732,5.1,1.1,98.84718,100,14.88300037,64.664697,-2400,9,691.1660936,12,28.39506173,10.7,67.15,
Morocco,5.208,77.43,3204.095003,50.24,5.06,18.937,,,73.75001,100,9.019000053,88.46886281,-257096,7,369.5735186,2,20.50632911,19.6,62.994,346
Mozambique,4.466,62.13,491.8047231,,8.544,37.52,,,,31.1,3.240999937,12.61995347,-25000,3.3,20.51634267,1,41.2,30.1,36.528,1032
Myanmar,4.36,67.78,1407.813143,,8.199,17.552,,,,66.26457214,1.577000022,44.28989524,-816564,3.9,12.26745948,2,11.31639723,19.9,30.852,2091
Namibia,4.639,64.86,4957.458006,68.66,8.057,28.639,,,91.52727,53.87387466,20.27300072,66.71909083,-24030,4.5,146.7210256,5,42.70833333,30.4,51.042,285
Nepal,4.913,71.74,1071.050761,36.44,6.361,19.887,,,67.90843,93.92,1.406999946,15.4826794,208549,7.2,188.8935223,10,32.72727273,15.9,20.153,1500
Netherlands,7.488,82.78,52447.83144,28.57,8.9,9.7,3.8,2,,100,3.196000099,90.92188386,80000,5.4,130369.8469,2,31.33333333,3.8,91.876,778
New Zealand,7.307,82.8,42084.35337,39.55,6.86,11.98,4.8,2,,100,4.068999767,59.84684405,74403,6.2,20375.43217,12,40.83333333,7.8,86.615,1732
Nicaragua,6.105,75.23,1912.903745,,5.061,20.641,4.5,0.8,,88.07795715,6.836999893,40.69539206,-106360,11.4,86.16604196,2,44.56521739,,58.76,2280
Niger,4.628,63.62,554.6009687,,8.268,46.079,,,,17.6,0.474999994,24.06036815,20001,2.4,0.857974541,6,16.95906433,26.2,16.517,151
Nigeria,5.265,55.75,2229.858696,64.41,11.86,37.905,,,62.01601,56.5,8.095999718,18.87676676,-300000,3.1,74.81951993,9,3.38028169,21.4,51.157,1150
North Macedonia,5.274,76.26,6093.14769,39.29,10.051,10.811,6.4,1,,100,17.75900078,79.42591466,-4999,9.3,690.1983672,9,39.16666667,6.4,58.208,619
Norway,7.554,82.94,75419.63487,35.32,7.7,10.4,4.5,1.9,,100,3.345999956,57.97823335,140000,5.3,36180.95789,5,40.82840237,2.7,82.616,1414
Pakistan,5.653,67.79,1284.702041,46.73,6.942,28.25,,,,71.0915467,4.453000069,61.58536145,-1166895,19.9,62.56311087,2,20.23460411,14.3,36.907,494
Panama,6.321,79.1,15731.01603,46.43,5.076,18.976,3.7,1,95.41181,100,3.90199995,80.71266196,56000,7.7,1893.11562,8,21.12676056,14.3,68.059,2928
Paraguay,5.743,74.59,5414.799138,,5.498,20.571,,,94.0208,100,4.809000015,33.70331205,-82780,9.6,348.350149,1,15,22.7,61.879,1130
Peru,5.697,77.44,6977.695784,65.28,5.503,17.949,,,94.40827,95.2,3.309999943,79.55568357,495345,6.6,384.6455169,7,30,13.5,78.099,1738
Philippines,5.631,71.66,3485.084218,40.83,5.873,20.546,,,,94.85723114,2.150000095,62.43489629,-335758,7.1,111.3149908,1,27.96052632,12.3,47.149,2348
Poland,6.182,79.27,15595.22703,30.09,10.9,10.2,5.1,1.7,,100,3.473999977,90.0879643,-146976,6.1,20603.13387,7,28.69565217,9.7,60.037,600
Portugal,5.693,82.65,23145.04082,32.13,11,8.5,3.1,2.2,96.13759,100,6.334000111,72.8127263,-30001,9.8,19182.0042,2,38.69565217,7.4,65.764,854
Qatar,6.374,80.73,64781.7332,13.26,1.202,9.541,3.3,1.1,,100,0.090999998,99.99502672,200000,15.6,436.0772538,1,9.756097561,9.3,99.188,74
Romania,6.07,76.5,12919.52964,27.84,13.5,9.6,6.8,1.5,98.8445,100,3.976000071,72.52369457,-369997,6.9,19179.56015,9,21.88449848,10.3,54.084,637
Russia,5.648,72.99,11584.99538,41.93,12.4,11.5,9.2,4.8,99.73006,100,4.585000038,92.14287582,912279,6.1,9339.024635,9,15.77777778,18,74.587,460
Rwanda,3.334,70,801.656187,,5.208,31.696,,,73.21559,34.71657181,1.029999971,,-44998,5.1,71.27611973,11,61.25,29.7,17.313,1212
Saudi Arabia,6.375,75.69,23139.79866,29.73,3.472,17.798,5.2,1.1,,100,5.927000046,99.92801862,674895,15.8,182.558177,4,19.86754967,28.8,84.065,59
Senegal,4.681,68.87,1446.830965,,5.716,34.523,,,,66.95944977,6.604000092,53.90911721,-100001,2.4,19.39082853,6,41.81818182,23.4,47.653,686
Serbia,5.603,76.47,7402.354559,37.27,14.6,9.2,5.1,1.3,,100,12.68599987,83.87126164,20000,9,8072.167286,6,37.65182186,7.4,56.26,
Sierra Leone,4.374,55.92,504.4625434,,11.745,33.406,,,43.20633,26.1,4.427999973,,-21000,2.4,5.247519747,5,12.32876712,,42.484,2526
Singapore,6.262,84.07,65233.28244,21.47,5,8.8,6.8,1.9,97.34486,100,4.109000206,90.57887358,135142,5.5,122481.3796,8,23,2.8,100,2497
Slovakia,6.198,78,19329.0968,29.54,10,10.6,5.5,1.7,,100,5.56099987,63.94609543,7423,6.5,20091.59027,7,20,6.1,53.729,824
Slovenia,6.118,81.85,25739.24781,22.57,9.9,9.4,3.2,1.2,,100,4.195000172,59.66320668,9999,5.9,42538.93539,3,27.77777778,6.4,54.822,1162
Somalia,4.668,58.34,,60.1,10.855,41.753,,,,35.25553513,11.35099983,,-200002,5.1,8.547614584,,24.36363636,27.1,45.554,282
South Africa,4.722,64.88,6001.400814,76.8,9.435,20.51,3.5,0.6,,91.22987366,28.18099976,86.79143169,727026,12.7,14353.10504,5,46.34760705,25.9,66.856,495
South Sudan,2.853,58.74,,,10.459,35.01,,,34.52276,28.20185661,12.24400043,72.22263478,-870998,10.2,3.435148421,2,28.45953003,29.9,19.899,900
Spain,6.354,83.99,29613.67114,32.46,9.1,7.9,3.7,2.1,98.4365,100,13.95899963,71.53112185,200000,6.9,17716.31327,5,44,4.1,80.565,636
Sri Lanka,4.366,77.56,3853.083693,41.03,6.651,15.831,,0.15,91.70982,99.58340454,4.197999954,50.54557398,-489932,10.7,328.4410402,2,5.333333333,14.9,18.585,1712
Sweden,7.343,83.33,51610.06606,49.35,9.1,11.4,5.4,2.4,,100,6.475999832,29.77474727,200000,4.8,25671.88825,7,47.27793696,2.8,87.708,624
Switzerland,7.48,84.25,81993.72715,21.5,7.8,10,5,2,,100,4.580999851,48.74185988,259999,5.7,95788.23235,6,41.5,2.7,73.849,1537
Syria,3.462,76.06,,63.59,5.373,23.685,10.6,1.3,,86,8.369999886,97.79178143,-2136954,13.5,22.61259211,1,13.2,26.5,54.821,252
Tajikistan,5.467,71.76,870.7875893,,4.856,30.761,13.5,1.4,,99.3,11.0170002,45.98414186,-99999,6.1,71.12956975,11,19.04761905,18.1,27.309,691
Tanzania,3.231,66.39,1122.12181,59.01,6.419,36.7,,,,35.55897903,1.980000019,14.38061695,-200381,5.7,39.09976548,5,36.8956743,29.2,34.5,1071
Thailand,6.008,77.74,7808.192916,46.66,7.666,10.344,5.5,1.4,93.76776,100,0.754000008,79.83902265,97222,7,1403.808732,7,16.2,32.7,50.692,1622
Togo,4.085,62.13,675.5422133,,8.446,33.113,,,,51.34528351,2.038000107,17.80063303,-9999,2.4,19.6724573,6,16.48351648,29.2,42.248,1168
Trinidad & Tobago,6.192,73.91,17276.46545,,8.375,12.937,,,,100,2.686000109,99.91950642,-3999,11,312.5508522,7,30.95238095,12.1,53.187,2200
Tunisia,4.461,77.36,3317.541013,42.29,6.262,17.564,17.5,17,,99.8,16.02199936,88.8703881,-20000,8.5,270.9770111,3,22.58064516,22.8,69.254,207
Turkey,5.373,78.45,9042.492983,40.38,5.412,16.027,7.5,1.6,,100,13.48999977,89.5439509,1419610,11.1,5438.188825,7,17.44966443,12.3,75.63,593
Turkmenistan,5.247,68.63,,,7.045,23.831,,,,100,3.913000107,,-25001,6.1,20.026627,,25,14.5,52.048,161
Uganda,4.189,64.38,776.7685759,53.27,6.554,38.135,,,76.5275,42.65,1.843000054,,843469,2.5,21.97896823,5,34.8583878,29,24.361,1180
Ukraine,4.332,72.5,3659.031312,48.88,14.8,8.7,6.7,2.8,,100,8.881999969,75.34950578,50001,6.1,7867.202446,8,20.51886792,13.7,69.473,565
United Arab Emirates,6.825,78.46,43103.32306,16.32,1.47,10.331,2.8,0.7,,100,2.34800005,86.12834902,200000,16.3,1912.076613,6,50,18.1,86.789,78
United Kingdom,7.054,81.77,42300.26713,42.72,9.3,11,4.4,1.8,,100,3.851000071,82.7165785,1303250,3.9,35989.50271,7,32,3.1,83.652,1220
United States,6.892,79.11,65280.68224,47.13,8.6,11.6,6.5,2.9,,100,3.681999922,83.08904242,4774029,10.8,124014.1761,11,23.43387471,12.4,82.459,715
Uruguay,6.293,78.43,16190.12696,52.01,9.467,13.857,3.2,0,98.70386,100,8.730999947,46.27030789,-15000,7.3,1808.920038,4,19.19191919,13.4,95.426,1300
Uzbekistan,6.174,72.04,1724.841134,,4.7,23.3,7.8,1.1,99.99289,100,5.916999817,,-44314,6.5,452.5225092,6,16,11.5,50.433,206
Venezuela,4.707,72.34,,83.23,6.982,17.881,3.3,1.2,,100,8.800999641,,-3266243,7,217.1074879,1,22.15568862,33.7,88.24,2044
